,Label Vader
1090,positive
1091,negative
1092,negative
1093,positive
1094,neutral
1095,negative
1096,negative
1097,negative
1098,positive
1099,negative
1100,negative
1101,negative
1102,negative
1103,negative
1104,negative
1105,negative
1106,positive
1107,negative
1108,positive
1109,negative
1110,neutral
1111,negative
1112,negative
1113,negative
1114,negative
1115,negative
1116,negative
1117,negative
1118,positive
1119,negative
1120,negative
1121,positive
1122,negative
1123,negative
1124,negative
1125,negative
1126,negative
1127,negative
1128,negative
1129,negative
1130,negative
1131,negative
1132,negative
1133,neutral
1134,negative
1135,positive
1136,negative
1137,negative
1138,positive
1139,positive
1140,neutral
1141,positive
1142,negative
1143,negative
1144,positive
1145,negative
1146,negative
1147,positive
1148,negative
1149,negative
1150,positive
1151,negative
1152,negative
1153,negative
1154,positive
1155,negative
1156,positive
1157,negative
1158,negative
1159,negative
1160,negative
1161,negative
1162,positive
1163,negative
1164,negative
1165,negative
1166,negative
1167,negative
1168,neutral
1169,negative
1170,negative
1171,negative
1172,negative
1173,negative
1174,positive
1175,negative
1176,negative
1177,positive
1178,negative
1179,negative
1180,positive
1181,negative
1182,neutral
1183,negative
1184,negative
1185,negative
1186,negative
1187,positive
1188,negative
1189,neutral
1190,negative
1191,negative
1192,negative
1193,neutral
1194,negative
1195,positive
1196,negative
1197,negative
1198,positive
1199,negative
1200,positive
1201,negative
1202,negative
1203,negative
1204,negative
1205,positive
1206,negative
1207,negative
1208,negative
1209,negative
1210,negative
1211,negative
1212,negative
1213,negative
1214,neutral
1215,negative
1216,positive
1217,negative
1218,positive
1219,positive
1220,positive
1221,negative
1222,negative
1223,negative
1224,positive
1225,negative
1226,negative
1227,negative
1228,negative
1229,positive
1230,positive
1231,positive
1232,negative
1233,negative
1234,positive
1235,negative
1236,negative
1237,positive
1238,negative
1239,negative
1240,negative
1241,negative
1242,positive
1243,negative
1244,negative
1245,negative
1246,negative
1247,negative
1248,negative
1249,negative
1250,negative
1251,positive
1252,negative
1253,negative
1254,negative
1255,negative
1256,negative
1257,neutral
1258,negative
1259,negative
1260,negative
1261,positive
1262,negative
1263,positive
1264,negative
1265,negative
1266,neutral
1267,positive
1268,negative
1269,negative
1270,negative
1271,negative
1272,positive
1273,negative
1274,negative
1275,negative
1276,positive
1277,negative
1278,negative
1279,positive
1280,negative
1281,negative
1282,negative
1283,positive
1284,positive
1285,negative
1286,negative
1287,negative
1288,negative
1289,negative
1290,positive
1291,neutral
1292,negative
1293,negative
1294,negative
1295,negative
1296,negative
1297,negative
1298,positive
1299,negative
1300,positive
1301,positive
1302,negative
1303,negative
1304,negative
1305,negative
1306,negative
1307,positive
1308,negative
1309,negative
1310,negative
1311,negative
1312,neutral
1313,negative
1314,negative
1315,negative
1316,positive
1317,negative
1318,negative
1319,negative
1320,negative
1321,negative
1322,negative
1323,negative
1324,negative
1325,positive
1326,negative
1327,negative
1328,negative
1329,positive
1330,negative
1331,negative
1332,negative
1333,negative
1334,negative
1335,negative
1336,negative
1337,negative
1338,positive
1339,positive
1340,negative
1341,positive
1342,negative
1343,positive
1344,negative
1345,negative
1346,positive
1347,negative
1348,positive
1349,negative
1350,negative
1351,negative
1352,negative
1353,negative
1354,neutral
1355,positive
1356,negative
1357,negative
1358,negative
1359,negative
1360,negative
1361,positive
1362,negative
1363,positive
1364,positive
1365,negative
1366,negative
1367,negative
1368,negative
1369,neutral
1370,negative
1371,positive
1372,negative
1373,negative
1374,neutral
1375,positive
1376,negative
1377,negative
1378,negative
1379,neutral
1380,negative
1381,positive
1382,negative
1383,negative
1384,negative
1385,negative
1386,negative
1387,negative
1388,negative
1389,negative
1390,positive
1391,positive
1392,negative
1393,negative
1394,negative
1395,negative
1396,negative
1397,negative
1398,negative
1399,negative
1400,negative
1401,negative
1402,neutral
1403,negative
1404,negative
1405,negative
1406,negative
1407,negative
1408,positive
1409,negative
1410,positive
1411,negative
1412,negative
1413,negative
1414,negative
1415,negative
1416,negative
1417,negative
1418,negative
1419,positive
1420,negative
1421,positive
1422,negative
1423,negative
1424,negative
1425,negative
1426,negative
1427,negative
1428,positive
1429,positive
1430,negative
1431,negative
1432,negative
1433,negative
1434,positive
1435,negative
1436,positive
1437,negative
1438,neutral
1439,negative
1440,positive
1441,negative
1442,negative
1443,negative
1444,negative
1445,positive
1446,positive
1447,positive
1448,negative
1449,negative
1450,negative
1451,negative
1452,neutral
1453,negative
1454,negative
1455,positive
1456,negative
1457,negative
1458,negative
1459,neutral
1460,negative
1461,negative
1462,negative
1463,negative
1464,negative
1465,negative
1466,positive
1467,negative
1468,negative
1469,negative
1470,negative
1471,positive
1472,negative
1473,negative
1474,positive
1475,negative
1476,negative
1477,neutral
1478,negative
1479,positive
1480,negative
1481,neutral
1482,negative
1483,positive
1484,negative
1485,negative
1486,negative
1487,negative
1488,negative
1489,negative
1490,negative
1491,negative
1492,negative
1493,positive
1494,neutral
1495,positive
1496,negative
1497,negative
1498,negative
1499,positive
1500,negative
1501,negative
1502,negative
1503,positive
1504,negative
1505,positive
1506,positive
1507,negative
1508,negative
1509,negative
1510,positive
1511,negative
1512,positive
1513,negative
1514,positive
1515,negative
1516,positive
1517,negative
1518,negative
1519,negative
1520,neutral
1521,neutral
1522,positive
1523,negative
1524,positive
1525,positive
1526,negative
1527,positive
1528,negative
1529,neutral
1530,negative
1531,negative
1532,negative
1533,negative
1534,neutral
1535,negative
1536,negative
1537,negative
1538,negative
1539,neutral
1540,negative
1541,negative
1542,negative
1543,positive
1544,negative
1545,negative
1546,negative
1547,negative
1548,negative
1549,positive
1550,negative
1551,negative
1552,positive
1553,negative
1554,negative
1555,negative
1556,positive
1557,negative
1558,negative
1559,negative
1560,negative
1561,neutral
1562,negative
1563,negative
1564,negative
1565,negative
1566,negative
1567,negative
1568,negative
1569,negative
1570,negative
1571,negative
1572,negative
1573,positive
1574,positive
1575,negative
1576,negative
1577,negative
1578,negative
1579,positive
1580,negative
1581,negative
1582,positive
1583,positive
1584,negative
1585,negative
1586,negative
1587,positive
1588,negative
1589,negative
1590,negative
1591,positive
1592,negative
1593,negative
1594,negative
1595,negative
1596,negative
1597,negative
1598,negative
1599,negative
1600,negative
1601,negative
1602,neutral
1603,negative
1604,negative
1605,negative
1606,positive
1607,negative
1608,negative
1609,positive
1610,negative
1611,positive
1612,negative
1613,positive
1614,neutral
1615,negative
1616,negative
1617,negative
1618,negative
1619,neutral
1620,negative
1621,negative
1622,negative
1623,positive
1624,negative
1625,positive
1626,negative
1627,negative
1628,negative
1629,negative
1630,positive
1631,negative
1632,positive
1633,negative
1634,positive
1635,positive
1636,negative
1637,negative
1638,negative
1639,neutral
1640,positive
1641,neutral
1642,positive
1643,negative
1644,negative
1645,negative
1646,negative
1647,negative
1648,negative
1649,negative
1650,negative
1651,positive
1652,negative
1653,negative
1654,positive
1655,neutral
1656,negative
1657,negative
1658,positive
1659,neutral
1660,negative
1661,positive
1662,negative
1663,negative
1664,negative
1665,negative
1666,positive
1667,negative
1668,negative
1669,negative
1670,neutral
1671,neutral
1672,negative
1673,neutral
1674,positive
1675,positive
1676,negative
1677,negative
1678,negative
1679,negative
1680,negative
1681,positive
1682,positive
1683,negative
1684,negative
1685,negative
1686,negative
1687,negative
1688,negative
1689,negative
1690,positive
1691,negative
1692,negative
1693,negative
1694,positive
1695,negative
1696,positive
1697,positive
1698,negative
1699,negative
1700,negative
1701,negative
1702,negative
1703,negative
1704,negative
1705,positive
1706,negative
1707,negative
1708,negative
1709,positive
1710,negative
1711,negative
1712,negative
1713,negative
1714,negative
1715,neutral
1716,negative
1717,negative
1718,negative
1719,positive
1720,positive
1721,negative
1722,positive
1723,negative
1724,negative
1725,negative
1726,positive
1727,negative
1728,negative
1729,negative
1730,neutral
1731,positive
1732,negative
1733,positive
1734,negative
1735,negative
1736,positive
1737,negative
1738,positive
1739,positive
1740,negative
1741,positive
1742,negative
1743,negative
1744,negative
1745,positive
1746,negative
1747,negative
1748,neutral
1749,negative
1750,positive
1751,positive
1752,positive
1753,negative
1754,negative
1755,negative
1756,negative
1757,negative
1758,negative
1759,negative
1760,negative
1761,negative
1762,negative
1763,negative
1764,negative
1765,negative
1766,negative
1767,positive
1768,negative
1769,positive
1770,negative
1771,positive
1772,negative
1773,negative
1774,positive
1775,positive
1776,negative
1777,neutral
1778,negative
1779,negative
1780,negative
1781,negative
1782,neutral
1783,neutral
1784,negative
1785,neutral
1786,negative
1787,negative
1788,positive
1789,negative
1790,positive
1791,negative
1792,negative
1793,negative
1794,negative
1795,negative
1796,positive
1797,negative
1798,positive
1799,negative
1800,negative
1801,negative
1802,positive
1803,negative
1804,negative
1805,negative
1806,negative
1807,negative
1808,negative
1809,negative
1810,positive
1811,positive
1812,negative
1813,negative
1814,positive
1815,positive
1816,negative
1817,neutral
1818,negative
1819,negative
1820,negative
1821,neutral
1822,negative
1823,negative
1824,negative
1825,negative
1826,negative
1827,negative
1828,positive
1829,negative
1830,negative
1831,positive
1832,negative
1833,negative
1834,negative
1835,negative
1836,neutral
1837,negative
1838,negative
1839,negative
1840,negative
1841,negative
1842,negative
1843,positive
1844,negative
1845,negative
1846,negative
1847,negative
1848,negative
1849,negative
1850,negative
1851,negative
1852,negative
1853,positive
1854,negative
1855,negative
1856,negative
1857,positive
1858,negative
1859,positive
1860,negative
1861,negative
1862,negative
1863,negative
1864,negative
1865,negative
1866,negative
1867,positive
1868,negative
1869,negative
1870,negative
1871,negative
1872,negative
1873,positive
1874,negative
1875,negative
1876,positive
1877,negative
1878,negative
1879,negative
1880,positive
1881,positive
1882,negative
1883,negative
1884,positive
1885,negative
1886,negative
1887,negative
1888,negative
1889,positive
1890,negative
1891,negative
1892,neutral
1893,negative
1894,positive
1895,negative
1896,negative
1897,negative
1898,positive
1899,negative
1900,negative
1901,negative
1902,neutral
1903,negative
1904,negative
1905,negative
1906,positive
1907,negative
1908,negative
1909,negative
1910,negative
1911,neutral
1912,negative
1913,negative
1914,negative
1915,negative
1916,negative
1917,negative
1918,negative
1919,negative
1920,negative
1921,positive
1922,negative
1923,negative
1924,positive
1925,negative
1926,negative
1927,positive
1928,neutral
1929,neutral
1930,negative
1931,negative
1932,negative
1933,negative
1934,negative
1935,negative
1936,negative
1937,positive
1938,negative
1939,negative
1940,negative
1941,negative
1942,negative
1943,negative
1944,negative
1945,negative
1946,negative
1947,negative
1948,positive
1949,negative
1950,positive
1951,negative
1952,neutral
1953,negative
1954,negative
1955,positive
1956,negative
1957,negative
1958,negative
1959,positive
1960,negative
1961,negative
1962,negative
1963,negative
1964,negative
1965,negative
1966,negative
1967,negative
1968,positive
1969,negative
1970,positive
1971,positive
1972,negative
1973,positive
1974,positive
1975,negative
1976,negative
1977,negative
1978,negative
1979,negative
1980,negative
1981,positive
1982,negative
1983,negative
1984,negative
1985,negative
1986,negative
1987,negative
1988,negative
1989,negative
1990,negative
1991,neutral
1992,neutral
1993,negative
1994,negative
1995,negative
1996,negative
1997,negative
1998,negative
1999,negative
2000,negative
2001,negative
2002,positive
2003,positive
2004,negative
2005,negative
2006,negative
2007,negative
2008,negative
2009,positive
2010,negative
2011,negative
2012,negative
2013,negative
2014,negative
2015,positive
2016,negative
2017,negative
2018,negative
2019,positive
2020,positive
2021,positive
2022,negative
2023,negative
2024,negative
2025,negative
2026,negative
2027,positive
2028,positive
2029,negative
2030,negative
2031,negative
2032,negative
2033,negative
2034,negative
2035,negative
2036,negative
2037,negative
2038,negative
2039,negative
2040,negative
2041,negative
2042,negative
2043,positive
2044,negative
2045,negative
2046,positive
2047,negative
2048,negative
2049,negative
2050,neutral
2051,negative
2052,negative
2053,negative
2054,neutral
2055,negative
2056,negative
2057,positive
2058,negative
2059,negative
2060,positive
2061,negative
2062,negative
2063,positive
2064,negative
2065,negative
2066,positive
2067,negative
2068,negative
2069,positive
2070,negative
2071,negative
2072,negative
2073,positive
2074,positive
2075,negative
2076,negative
2077,negative
2078,positive
2079,positive
2080,negative
2081,negative
2082,positive
2083,negative
2084,neutral
2085,neutral
2086,negative
2087,negative
2088,positive
2089,neutral
2090,negative
2091,negative
2092,negative
2093,positive
2094,positive
2095,positive
2096,positive
2097,neutral
2098,negative
2099,negative
2100,negative
2101,negative
2102,negative
2103,negative
2104,negative
2105,positive
2106,negative
2107,negative
2108,negative
2109,negative
2110,positive
2111,negative
2112,negative
2113,negative
2114,negative
2115,positive
2116,negative
2117,positive
2118,negative
2119,negative
2120,positive
2121,positive
2122,positive
2123,negative
2124,negative
2125,negative
2126,positive
2127,negative
2128,positive
2129,negative
2130,negative
2131,negative
2132,positive
2133,positive
2134,negative
2135,negative
2136,negative
2137,negative
2138,negative
2139,negative
2140,positive
2141,negative
2142,negative
2143,negative
2144,negative
2145,negative
2146,negative
2147,negative
2148,positive
2149,negative
2150,negative
2151,negative
2152,negative
2153,neutral
2154,neutral
2155,negative
2156,negative
2157,negative
2158,negative
2159,positive
2160,negative
2161,neutral
2162,positive
2163,negative
2164,negative
2165,neutral
2166,negative
2167,positive
2168,negative
2169,positive
2170,positive
2171,negative
2172,negative
2173,negative
2174,negative
2175,negative
2176,negative
2177,negative
2178,negative
2179,negative
2180,negative
2181,negative
2182,negative
2183,negative
2184,negative
2185,neutral
2186,positive
2187,positive
2188,negative
2189,positive
2190,positive
2191,negative
2192,negative
2193,negative
2194,positive
2195,negative
2196,negative
2197,negative
2198,negative
2199,neutral
2200,negative
2201,negative
2202,negative
2203,negative
2204,negative
2205,positive
2206,negative
2207,neutral
2208,neutral
2209,negative
2210,negative
2211,negative
2212,negative
2213,positive
2214,negative
2215,negative
2216,negative
2217,positive
2218,neutral
2219,negative
2220,negative
2221,negative
2222,negative
2223,negative
2224,negative
2225,negative
2226,negative
2227,negative
2228,positive
2229,negative
2230,negative
2231,positive
2232,negative
2233,positive
2234,negative
2235,positive
2236,negative
2237,negative
2238,negative
2239,negative
2240,negative
2241,negative
2242,negative
2243,negative
2244,positive
2245,negative
2246,negative
2247,negative
2248,negative
2249,negative
2250,positive
2251,positive
2252,positive
2253,negative
2254,negative
2255,negative
2256,negative
2257,negative
2258,negative
2259,negative
2260,negative
2261,positive
2262,positive
2263,negative
2264,positive
2265,positive
2266,positive
2267,neutral
2268,negative
2269,positive
2270,negative
2271,negative
2272,positive
2273,neutral
2274,positive
2275,negative
2276,negative
2277,negative
2278,negative
2279,negative
2280,negative
2281,negative
2282,negative
2283,positive
2284,positive
2285,positive
2286,negative
2287,negative
2288,negative
2289,positive
2290,positive
2291,negative
2292,negative
2293,positive
2294,negative
2295,neutral
2296,negative
2297,positive
2298,negative
2299,negative
2300,negative
2301,negative
2302,positive
2303,negative
2304,negative
2305,positive
2306,negative
2307,negative
2308,negative
2309,negative
2310,negative
2311,negative
2312,negative
2313,negative
2314,negative
2315,negative
2316,positive
2317,negative
2318,negative
2319,positive
2320,negative
2321,positive
2322,negative
2323,negative
2324,negative
2325,positive
2326,negative
2327,negative
2328,negative
2329,negative
2330,neutral
2331,positive
2332,positive
2333,negative
2334,negative
2335,negative
2336,negative
2337,positive
2338,negative
2339,negative
2340,positive
2341,negative
2342,positive
2343,negative
2344,negative
2345,negative
2346,negative
2347,negative
2348,negative
2349,neutral
2350,negative
2351,negative
2352,negative
2353,negative
2354,negative
2355,negative
2356,negative
2357,negative
2358,neutral
2359,positive
2360,negative
2361,negative
2362,negative
2363,negative
2364,negative
2365,negative
2366,negative
2367,negative
2368,negative
2369,negative
2370,positive
2371,neutral
2372,negative
2373,negative
2374,negative
2375,negative
2376,negative
2377,negative
2378,negative
2379,positive
2380,negative
2381,negative
2382,negative
2383,positive
2384,negative
2385,negative
2386,positive
2387,positive
2388,negative
2389,negative
2390,negative
2391,negative
2392,negative
2393,positive
2394,positive
2395,negative
2396,negative
2397,negative
2398,negative
2399,negative
2400,negative
2401,negative
2402,negative
2403,neutral
2404,positive
2405,positive
2406,negative
2407,negative
2408,positive
2409,negative
2410,negative
2411,negative
2412,negative
2413,positive
2414,positive
2415,negative
2416,positive
2417,negative
2418,negative
2419,positive
2420,negative
2421,neutral
2422,negative
2423,negative
2424,negative
2425,negative
2426,positive
2427,negative
2428,neutral
2429,negative
2430,negative
2431,negative
2432,negative
2433,negative
2434,positive
2435,negative
2436,negative
2437,negative
2438,negative
2439,negative
2440,negative
2441,negative
2442,negative
2443,negative
2444,negative
2445,neutral
2446,positive
2447,negative
2448,neutral
2449,negative
2450,negative
2451,negative
2452,negative
2453,negative
2454,negative
2455,negative
2456,negative
2457,neutral
2458,positive
2459,negative
2460,negative
2461,negative
2462,positive
2463,positive
2464,positive
2465,negative
2466,negative
2467,negative
2468,negative
2469,positive
2470,negative
2471,negative
2472,negative
